characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
31981ee2213a4a254bf2321f890c0895,웨펀티거,2023-07-03,2023-07-17,귀검사(남),眞 웨펀마스터,후,15.0,실패
c641df949ea0ae2cebbec1db6d0529af,양손막기,2023-06-23,2023-06-29,귀검사(여),眞 블레이드,전,7.0,실패
c02601e2f33444b2130f9f3666b9475e,眞:트래드머,2023-06-06,2023-06-06,아처,眞 트래블러,전,1.0,성공
87da52136f3446cd841a17e45d66655c,P메카닉,2023-07-02,2023-07-02,거너(남),眞 메카닉,후,1.0,성공
70e052c046802c3755282ec88cbace4c,U런처,2023-07-02,2023-07-12,거너(남),디스트로이어,후,11.0,실패
8c73e1673b9d17007a5cf0fcbb948005,천궄,2023-06-29,2023-06-29,다크나이트,眞 다크나이트,후,1.0,성공
a87a239d7d134398b0d4a9579810d913,구라요원,2023-06-29,2023-06-29,총검사,眞 요원,후,1.0,성공
d6b83655428b887d14ea41fe5a26d579,요눈,2023-06-29,2023-06-30,총검사,眞 요원,후,2.0,실패
bd8891e5cae91689283c39fc15530541,애로(배)우,2023-04-27,2023-05-06,아처,眞 트래블러,전,10.0,실패
af81888f92d2e6de025f41b3307260eb,소환사의난,2023-07-07,2023-07-07,마법사(여),眞 소환사,후,1.0,성공
da1c51c212999508816c8651125e4859,박테로신연고,2023-07-06,2023-07-09,거너(남),眞 레인저,후,4.0,실패
10997ce0dbbcc60c6ee3114c90ff8e9f,도궁수,2023-04-27,2023-04-28,아처,眞 트래블러,전,2.0,실패
e62e860638d8590d3b8e623479b18d45,블러드트래,2023-07-12,2023-07-13,아처,眞 트래블러,후,2.0,실패
1bb9aa6f32278766dc690773597a3577,워썰,2023-07-12,2023-07-12,거너(남),眞 어썰트,후,1.0,성공
19156592734cea327ed9725a0cce6ab4,피맛좋당,2023-07-05,2023-07-06,귀검사(남),眞 버서커,후,2.0,실패
84f24303642bb9acf227d76978d1ae1c,트레쁜,2023-06-22,2023-07-06,아처,眞 트래블러,전,15.0,실패
06f1ec354451fb8609220a40c5e2dfb0,춤추는꽈베기,2023-07-09,2023-07-16,마법사(여),眞 인챈트리스,후,8.0,실패
d147c61b0b16e4169c4db9007eb845bf,뮤즈클로버,2023-07-12,2023-07-12,아처,眞 뮤즈,후,1.0,성공
218d4fd06283dc3cc984545b567e2090,인파입니당,2023-07-12,2023-07-12,프리스트(남),眞 인파이터,후,1.0,성공
c6f9476eec40ba8f94e4f9061c98998a,앤마이아,2023-07-12,2023-07-12,귀검사(여),眞 블레이드,후,1.0,성공
6198466699d5c6909cf0d001be398a36,훠거거든,2023-07-10,2023-07-10,아처,眞 트래블러,후,1.0,성공
b619f56c1b5402252c88fe0aa775e6b3,홍지니어,2023-07-04,2023-07-04,격투가(남),眞 스트리트파이터,후,1.0,성공
98e42e3cd97044d85181a8b54f92158b,잡아보입시다,2023-07-11,2023-07-13,격투가(남),眞 그래플러,후,3.0,실패
30840abbd1aa94cc87b91a81b8ba0fac,크루세이하나,2023-07-09,2023-07-09,프리스트(여),眞 크루세이더,후,1.0,성공
b585eedf50a0cf1bfcc80824d4241e13,우지챠레후,2023-05-29,2023-05-29,아처,眞 뮤즈,전,1.0,성공
ac4316e72d361bb57ad41318a653d945,SIN스틸러,2023-07-12,2023-07-12,프리스트(여),眞 미스트리스,후,1.0,성공
a107e9124a499f2ea4b0d3fc40f2bf8d,트래물렁,2023-04-30,2023-04-30,아처,眞 트래블러,전,1.0,성공
0c589258cb13bc102e893e7e24efbc92,태우노,2023-07-06,2023-07-06,귀검사(여),眞 베가본드,후,1.0,성공
563f24b006317c96cc3bf46092d28864,댠찌),2023-07-12,2023-07-12,프리스트(여),眞 무녀,후,1.0,성공
1f8e5d82e0dd793e675ae2ff1146d7ad,고백하는취한,2023-07-07,2023-07-08,프리스트(남),眞 퇴마사,후,2.0,실패
